itemName,itemUrl,itemProgress,itemProgresst
高级前端开发工程师直播课①,https://study.163.com/course/courseMain.htm?courseId=1209491866,,
零基础转行入职新媒体运营,https://study.163.com/course/courseMain.htm?courseId=1004122012,,
企业网络 规划设计与配置实战,https://study.163.com/course/courseMain.htm?courseId=1005452053,,
Python全栈工程师系列直播课,https://study.163.com/course/courseMain.htm?courseId=1209514874,,
西餐礼仪，你知多少？,https://study.163.com/course/courseMain.htm?courseId=657005,,
90%面试题都可套用的『三三原则』,https://study.163.com/course/courseMain.htm?courseId=1003605057,,
法律公开课,https://study.163.com/course/courseMain.htm?courseId=1003291002,,
超简单！圆珠笔也能轻松画插画,https://study.163.com/course/courseMain.htm?courseId=1209505802,0,0
佛陀传：释迦牟尼佛的成佛之路,https://study.163.com/course/courseMain.htm?courseId=1209483912,0,0
CFO的凤凰涅槃路--会计职业规划,https://study.163.com/course/courseMain.htm?courseId=1209492809,,
寒蝉摄影工作室：人像摄影编修,https://study.163.com/course/courseMain.htm?courseId=1209503809,0,0
口才技巧：演讲主持辩论职场社交,https://study.163.com/course/courseMain.htm?courseId=1209503815,0,0
基于vue-cli3的Vue入门系列教程,https://study.163.com/course/courseMain.htm?courseId=1209512828,0,0
阿里巴巴运营培训1688诚信通运营,https://study.163.com/course/courseMain.htm?courseId=1209514875,0,0
秦虢脉诊,https://study.163.com/course/courseMain.htm?courseId=1209534815,0,0
零基础至商务英语BEC初级冲刺,https://study.163.com/course/courseMain.htm?courseId=1209512906,0,0
Python+OpenCV图像处理,https://study.163.com/course/courseMain.htm?courseId=1005317018,,
印象笔记速用指南,https://study.163.com/course/courseMain.htm?courseId=1209337802,,
职场必备的EXCEL实用技巧,https://study.163.com/course/courseMain.htm?courseId=1209424805,,
HR必备Excel常用十大函数视频课,https://study.163.com/course/courseMain.htm?courseId=1209453900,,
中医基础理论,https://study.163.com/course/courseMain.htm?courseId=1002829003,0,0
影视拍摄技巧与摄像实例教学,https://study.163.com/course/courseMain.htm?courseId=1003046006,0,0
NLP——深度学习,https://study.163.com/course/courseMain.htm?courseId=1209482829,0,0
优秀室内设计师必备的自我修养,https://study.163.com/course/courseMain.htm?courseId=1006383105,0,0
职场人际沟通必备技能,https://study.163.com/course/courseMain.htm?courseId=1002858002,,
情绪管理：高情商的奥秘,https://study.163.com/course/courseMain.htm?courseId=1209158813,,
